iter	Passed	Remaining
0	3	3123
1	5	2865
2	8	2725
3	10	2643
4	13	2591
5	15	2576
6	17	2537
7	20	2528
8	23	2540
9	25	2516
10	28	2525
11	30	2519
12	33	2515
13	35	2511
14	38	2509
15	40	2514
16	43	2512
17	45	2504
18	48	2496
19	50	2494
20	53	2491
21	56	2489
22	58	2488
23	61	2488
24	63	2486
25	66	2483
26	68	2482
27	71	2481
28	74	2479
29	76	2473
30	79	2469
31	81	2460
32	83	2457
33	86	2456
34	89	2455
35	91	2453
36	94	2450
37	96	2447
38	99	2444
39	101	2445
40	104	2444
41	107	2451
42	110	2452
43	112	2454
44	115	2455
45	118	2456
46	121	2460
47	124	2463
48	127	2464
49	129	2464
50	132	2462
51	135	2463
52	137	2464
53	140	2465
54	143	2465
55	146	2462
56	148	2460
57	151	2455
58	153	2453
59	156	2451
60	159	2449
61	161	2445
62	164	2440
63	166	2437
64	169	2435
65	172	2434
66	174	2428
67	176	2425
68	179	2422
69	182	2418
70	184	2415
71	187	2412
72	189	2407
73	192	2405
74	195	2410
75	198	2415
76	201	2416
77	204	2419
78	207	2422
79	210	2424
80	214	2428
81	217	2431
82	220	2433
83	223	2434
84	226	2433
85	228	2430
86	231	2427
87	233	2424
88	236	2421
89	239	2419
90	242	2424
91	245	2423
92	248	2422
93	251	2420
94	253	2416
95	256	2413
96	258	2410
97	261	2410
98	264	2408
99	267	2404
100	269	2401
101	272	2398
102	274	2394
103	277	2390
104	279	2386
105	282	2382
106	284	2378
107	287	2375
108	290	2371
109	292	2367
110	295	2363
111	296	2351
112	298	2346
113	301	2343
114	304	2340
115	306	2336
116	309	2332
117	311	2329
118	314	2326
119	316	2323
120	319	2319
121	321	2314
122	324	2310
123	326	2307
124	329	2304
125	331	2300
126	334	2296
127	336	2292
128	339	2290
129	341	2287
130	344	2284
131	346	2280
132	349	2277
133	351	2274
134	354	2271
135	357	2268
136	359	2264
137	362	2261
138	364	2257
139	367	2255
140	369	2251
141	372	2248
142	374	2245
143	376	2240
144	379	2236
145	381	2233
146	384	2230
147	386	2227
148	389	2226
149	392	2223
150	395	2221
151	398	2220
152	400	2219
153	403	2219
154	407	2218
155	409	2215
156	412	2214
157	415	2213
158	418	2212
159	420	2209
160	423	2206
161	426	2204
162	428	2201
163	431	2197
164	434	2197
165	437	2200
166	440	2199
167	443	2198
168	446	2196
169	449	2193
170	451	2191
171	454	2187
172	456	2184
173	459	2181
174	462	2178
175	464	2174
176	467	2171
177	469	2168
178	471	2164
179	474	2161
180	476	2158
181	479	2154
182	481	2151
183	484	2148
184	486	2145
185	489	2141
186	491	2138
187	494	2135
188	496	2131
189	499	2128
190	501	2125
191	504	2121
192	506	2117
193	508	2114
194	511	2111
195	513	2108
196	516	2104
197	518	2100
198	521	2097
199	523	2094
200	525	2090
201	528	2087
202	530	2084
203	533	2081
